 Program MEVIR by B. Dick, University of Regensburg
 Institute for Physical and Theoretical Chemistry
 93053 Regensburg, Germany
 email: bernhard.dick[at]chemie.uni-r.de
 Program version 01-MAY-2015 


 DATEN matrix is  351 by  351
 data points used in background region       13906
 average value of background                53.8228102977132181
 negative or invalid data        54235
 total ions in image        3.9736599000000000D+007
 average signal per pixel      322.5347115688995814


ITER    TEST      ENTROPY      CHTARG       CHISQ       POISS    CHIAV
  0  0.0000E+00  0.4532E+05  0.6897E+03  0.4916E+08  0.2497E+09  0.0000E+00
  1  0.2175E+00  0.4493E+05  0.6897E+03  0.4273E+08  0.2497E+09  0.0000E+00
  2  0.6032E+00  0.4420E+05  0.3967E+08  0.1167E+10  0.4006E+09  0.0000E+00
  3  0.5680E+00  0.4014E+05  0.1008E+10  0.1100E+10  0.4031E+09  0.0000E+00
  4  0.3105E+00  0.3793E+05  0.1056E+10  0.7772E+09  0.4120E+09  0.0000E+00
  5  0.2654E+00  0.3006E+05  0.7326E+09  0.5876E+09  0.4183E+09  0.0000E+00
  6  0.1494E+00  0.2280E+05  0.5669E+09  0.3993E+09  0.4244E+09  0.0000E+00
  7  0.1051E+00  0.9428E+04  0.3822E+09  0.2812E+09  0.4282E+09  0.0000E+00
  8  0.7463E-01  -.1161E+05  0.2641E+09  0.2020E+09  0.4298E+09  0.0000E+00
  9  0.4672E-01  -.3973E+05  0.1876E+09  0.1463E+09  0.4290E+09  0.0000E+00
 10  0.5721E-01  -.8401E+05  0.1253E+09  0.1086E+09  0.4259E+09  0.0000E+00
 11  0.3776E-01  -.1335E+06  0.9699E+08  0.7682E+08  0.4201E+09  0.0000E+00
 12  0.3220E-01  -.1962E+06  0.6661E+08  0.5355E+08  0.4114E+09  0.0000E+00
 13  0.1960E-01  -.2745E+06  0.4449E+08  0.3672E+08  0.3999E+09  0.0000E+00
 14  0.2881E-01  -.3619E+06  0.2971E+08  0.2464E+08  0.3857E+09  0.0000E+00
 15  0.6103E-01  -.4665E+06  0.1859E+08  0.1676E+08  0.3699E+09  0.0000E+00
 16  0.6547E-01  -.5631E+06  0.1265E+08  0.1202E+08  0.3532E+09  0.0000E+00
 17  0.7322E-01  -.6625E+06  0.9104E+07  0.7454E+07  0.3361E+09  0.0000E+00
 18  0.7069E-01  -.7562E+06  0.5464E+07  0.4578E+07  0.3201E+09  0.0000E+00
 19  0.6497E-01  -.8406E+06  0.3270E+07  0.2873E+07  0.3058E+09  0.0000E+00
 20  0.7964E-01  -.9147E+06  0.2012E+07  0.1852E+07  0.2942E+09  0.0000E+00
 21  0.1373E+00  -.9743E+06  0.1328E+07  0.1871E+07  0.2844E+09  0.0000E+00
 22  0.1857E+00  -.1024E+07  0.1563E+07  0.1308E+07  0.2761E+09  0.0000E+00
 23  0.1876E+00  -.1063E+07  0.1131E+07  0.9268E+06  0.2696E+09  0.0000E+00
 24  0.1841E+00  -.1092E+07  0.8220E+06  0.7290E+06  0.2648E+09  0.0000E+00
 25  0.2104E+00  -.1113E+07  0.6580E+06  0.6029E+06  0.2621E+09  0.0000E+00
 26  0.2928E+00  -.1127E+07  0.5533E+06  0.8033E+06  0.2601E+09  0.0000E+00
 27  0.3794E+00  -.1140E+07  0.7725E+06  0.6439E+06  0.2580E+09  0.0000E+00
 28  0.3644E+00  -.1151E+07  0.6248E+06  0.5380E+06  0.2563E+09  0.0000E+00
 29  0.3271E+00  -.1158E+07  0.5246E+06  0.4827E+06  0.2551E+09  0.0000E+00
 30  0.3910E+00  -.1161E+07  0.4691E+06  0.4886E+06  0.2552E+09  0.0000E+00
 31  0.4010E+00  -.1163E+07  0.4759E+06  0.5929E+06  0.2550E+09  0.0000E+00
 32  0.4266E+00  -.1167E+07  0.5824E+06  0.5093E+06  0.2546E+09  0.0000E+00
 33  0.3851E+00  -.1171E+07  0.5014E+06  0.4576E+06  0.2539E+09  0.0000E+00
 34  0.3782E+00  -.1173E+07  0.4509E+06  0.4259E+06  0.2538E+09  0.0000E+00
 35  0.5588E+00  -.1174E+07  0.4189E+06  0.5957E+06  0.2537E+09  0.0000E+00
 36  0.4838E+00  -.1174E+07  0.5889E+06  0.4982E+06  0.2538E+09  0.0000E+00
 37  0.4013E+00  -.1176E+07  0.4925E+06  0.4423E+06  0.2534E+09  0.0000E+00
 38  0.4524E+00  -.1178E+07  0.4361E+06  0.4141E+06  0.2535E+09  0.0000E+00
 39  0.5009E+00  -.1175E+07  0.4060E+06  0.5635E+06  0.2540E+09  0.0000E+00
 40  0.4438E+00  -.1178E+07  0.5569E+06  0.4810E+06  0.2536E+09  0.0000E+00
 41  0.3665E+00  -.1181E+07  0.4764E+06  0.4293E+06  0.2531E+09  0.0000E+00
 42  0.4352E+00  -.1182E+07  0.4242E+06  0.4135E+06  0.2532E+09  0.0000E+00
 43  0.4364E+00  -.1180E+07  0.4067E+06  0.4813E+06  0.2536E+09  0.0000E+00
 44  0.4372E+00  -.1182E+07  0.4764E+06  0.4499E+06  0.2533E+09  0.0000E+00
 45  0.4358E+00  -.1186E+07  0.4464E+06  0.4136E+06  0.2526E+09  0.0000E+00
 46  0.3719E+00  -.1188E+07  0.4108E+06  0.3956E+06  0.2524E+09  0.0000E+00
 47  0.4453E+00  -.1185E+07  0.3897E+06  0.4024E+06  0.2535E+09  0.0000E+00
 48  0.5158E+00  -.1185E+07  0.3959E+06  0.6172E+06  0.2536E+09  0.0000E+00
 49  0.5543E+00  -.1186E+07  0.6119E+06  0.5290E+06  0.2534E+09  0.0000E+00
 50  0.5226E+00  -.1189E+07  0.5250E+06  0.4479E+06  0.2529E+09  0.0000E+00
 51  0.4648E+00  -.1191E+07  0.4448E+06  0.4056E+06  0.2527E+09  0.0000E+00
 52  0.3911E+00  -.1192E+07  0.4027E+06  0.3884E+06  0.2524E+09  0.0000E+00
 53  0.4600E+00  -.1192E+07  0.3849E+06  0.3748E+06  0.2527E+09  0.0000E+00
 54  0.4851E+00  -.1188E+07  0.3693E+06  0.5743E+06  0.2533E+09  0.0000E+00
 55  0.5145E+00  -.1191E+07  0.5701E+06  0.5082E+06  0.2528E+09  0.0000E+00
 56  0.4803E+00  -.1194E+07  0.5056E+06  0.4366E+06  0.2525E+09  0.0000E+00
 57  0.4897E+00  -.1196E+07  0.4342E+06  0.4072E+06  0.2522E+09  0.0000E+00
 58  0.4448E+00  -.1197E+07  0.4052E+06  0.3859E+06  0.2520E+09  0.0000E+00
 59  0.4764E+00  -.1196E+07  0.3833E+06  0.4041E+06  0.2523E+09  0.0000E+00
 60  0.4701E+00  -.1196E+07  0.4011E+06  0.4088E+06  0.2524E+09  0.0000E+00
 61  0.4068E+00  -.1196E+07  0.4062E+06  0.3839E+06  0.2524E+09  0.0000E+00
 62  0.3622E+00  -.1197E+07  0.3814E+06  0.3816E+06  0.2523E+09  0.0000E+00
 63  0.4816E+00  -.1200E+07  0.3795E+06  0.3715E+06  0.2519E+09  0.0000E+00
 64  0.4488E+00  -.1200E+07  0.3695E+06  0.3822E+06  0.2519E+09  0.0000E+00
 65  0.3994E+00  -.1200E+07  0.3803E+06  0.3639E+06  0.2519E+09  0.0000E+00
 66  0.5015E+00  -.1201E+07  0.3620E+06  0.3916E+06  0.2518E+09  0.0000E+00
 67  0.3657E+00  -.1198E+07  0.3891E+06  0.3627E+06  0.2523E+09  0.0000E+00
 68  0.4595E+00  -.1199E+07  0.3601E+06  0.3899E+06  0.2522E+09  0.0000E+00
 69  0.3873E+00  -.1199E+07  0.3871E+06  0.3657E+06  0.2523E+09  0.0000E+00
 Time=      16.9200000000000017 seconds
 Integral  3.9606966757964410D+007 Average     321.4825103527115289
 normalized entropy       -6.8859709237731757
 SQRT(CHI**2/N)=        1.7316474524136234
